/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037063665.1.fna	vparahaemolyticus	-	dnaE(28)	gyrB(106)	recA(310)	dtdS(19)	pntA(26)	pyrC(5)	tnaA(~12)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037063705.1.fna	vparahaemolyticus	-	dnaE(60)	gyrB(147)	recA(123)	dtdS(441)	pntA(23)	pyrC(3)	tnaA(24)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037063895.1.fna	vparahaemolyticus	-	dnaE(57)	gyrB(16)	recA(13)	dtdS(8)	pntA(49)	pyrC(261)	tnaA(23)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037063995.1.fna	vparahaemolyticus	-	dnaE(182)	gyrB(89)	recA(44)	dtdS(47)	pntA(47)	pyrC(~104)	tnaA(~29)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037064015.1.fna	vparahaemolyticus	536	dnaE(14)	gyrB(30)	recA(49)	dtdS(11)	pntA(49)	pyrC(11)	tnaA(13)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037064035.1.fna	vparahaemolyticus	10	dnaE(7)	gyrB(36)	recA(4)	dtdS(26)	pntA(6)	pyrC(18)	tnaA(26)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037064055.1.fna	vparahaemolyticus	441	dnaE(31)	gyrB(237)	recA(175)	dtdS(91)	pntA(121)	pyrC(27)	tnaA(23)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037064155.1.fna	vparahaemolyticus	2568	dnaE(57)	gyrB(577)	recA(338)	dtdS(105)	pntA(33)	pyrC(3)	tnaA(2)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037064175.1.fna	vparahaemolyticus	614	dnaE(5)	gyrB(71)	recA(144)	dtdS(162)	pntA(26)	pyrC(11)	tnaA(24)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037064295.1.fna	vparahaemolyticus	2905	dnaE(5)	gyrB(290)	recA(31)	dtdS(224)	pntA(46)	pyrC(399)	tnaA(26)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037122505.1.fna	vparahaemolyticus	-	dnaE(26)	gyrB(109)	recA(81)	dtdS(353)	pntA(296)	pyrC(11)	tnaA(~239)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037123725.1.fna	vparahaemolyticus	2474	dnaE(17)	gyrB(323)	recA(6)	dtdS(19)	pntA(21)	pyrC(28)	tnaA(7)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037123765.1.fna	vparahaemolyticus	-	dnaE(95)	gyrB(119)	recA(93)	dtdS(242)	pntA(74)	pyrC(89,89)	tnaA(70)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037123785.1.fna	vparahaemolyticus	636	dnaE(223)	gyrB(106)	recA(31)	dtdS(221)	pntA(45)	pyrC(171)	tnaA(165)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037123805.1.fna	vparahaemolyticus	-	dnaE(12)	gyrB(178)	recA(25)	dtdS(153)	pntA(27)	pyrC(78,78)	tnaA(54)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037123825.1.fna	vparahaemolyticus	2529	dnaE(419)	gyrB(483)	recA(226)	dtdS(139)	pntA(26)	pyrC(7)	tnaA(47)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037123845.1.fna	vparahaemolyticus	-	dnaE(222)	gyrB(128)	recA(21)	dtdS(69)	pntA(46)	pyrC(236,236)	tnaA(12)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037123865.1.fna	vparahaemolyticus	-	dnaE(17)	gyrB(57)	recA(52)	dtdS(285)	pntA(44)	pyrC(28,28)	tnaA(36)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037123905.1.fna	vparahaemolyticus	-	dnaE(222)	gyrB(128)	recA(21)	dtdS(69)	pntA(46)	pyrC(236,236)	tnaA(12)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037123925.1.fna	vparahaemolyticus	-	dnaE(21)	gyrB(15)	recA(1)	dtdS(514)	pntA(23)	pyrC(21,21)	tnaA(16)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037158325.1.fna	vparahaemolyticus	-	dnaE(242)	gyrB(66)	recA(341)	dtdS(13)	pntA(31)	pyrC(160)	tnaA(296)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037414615.1.fna	vparahaemolyticus	-	dnaE(28)	gyrB(106)	recA(310)	dtdS(19)	pntA(26)	pyrC(5)	tnaA(~12)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037448095.1.fna	vparahaemolyticus	-	dnaE(49)	gyrB(625)	recA(482)	dtdS(562)	pntA(317)	pyrC(203)	tnaA(26)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037448115.1.fna	vparahaemolyticus	2909	dnaE(211)	gyrB(539)	recA(61)	dtdS(13)	pntA(23)	pyrC(514)	tnaA(6)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037448135.1.fna	vparahaemolyticus	-	dnaE(20)	gyrB(434)	recA(335)	dtdS(28)	pntA(12)	pyrC(21,21)	tnaA(15)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037448155.1.fna	vparahaemolyticus	-	dnaE(20)	gyrB(434)	recA(335)	dtdS(28)	pntA(12)	pyrC(21,21)	tnaA(15)
/workspace/hraxxg/Vp_global_library/data/all_genomes/GCA_037486485.1.fna	vparahaemolyticus	-	dnaE(71)	gyrB(~445)	recA(~330)	dtdS(108)	pntA(215)	pyrC(~137)	tnaA(18)
